Details,Area,Adress,Price,ImageLink
6220173,1,Mamelles Dakar,250000 ,"https://i.roamcdn.net/hz/ed/listing-thumb-543w/17bb25493b03510623f3cff4048fae9a/-/horizon-files-prod/ed/picture/qq4287k7/67685812895f4ee94e4acc1a4b40bb0f7fc871d1.jpg 543w,https://i.roamcdn.net/hz/ed/listing-gallery-main-844w/2b699333bd5f52e8924a7283d5ebb974/-/horizon-files-prod/ed/picture/qq4287k7/67685812895f4ee94e4acc1a4b40bb0f7fc871d1.jpg 844w,https://i.roamcdn.net/hz/ed/listing-gallery-full-1920w/83b7659e82484d066a00d0df2dd18eda/-/horizon-files-prod/ed/picture/qq4287k7/67685812895f4ee94e4acc1a4b40bb0f7fc871d1.jpg 1080w"
6220150,2,Mamelles Dakar,300000 ,"https://i.roamcdn.net/hz/ed/listing-thumb-543w/98cb9a1c73698a378ddfb2b6e8638aa3/-/horizon-files-prod/ed/picture/qwep525z/ff4660d591ff72a6a4036a57343c539c4b089bd3.jpg 543w,https://i.roamcdn.net/hz/ed/listing-gallery-main-844w/8fe85c9baedfa8a79f7969eef07e1cd8/-/horizon-files-prod/ed/picture/qwep525z/ff4660d591ff72a6a4036a57343c539c4b089bd3.jpg 844w,https://i.roamcdn.net/hz/ed/listing-gallery-full-1920w/2672664fb27e8c643b702b8fa18e8d2e/-/horizon-files-prod/ed/picture/qwep525z/ff4660d591ff72a6a4036a57343c539c4b089bd3.jpg 1080w"
6220129,3,Hann maristes Dakar,350000 ,"https://i.roamcdn.net/hz/ed/listing-thumb-543w/e6534826a96183640f08c23e70f99837/-/horizon-files-prod/ed/picture/qq4287v7/1775ba0be6a13ebd74437beaa85c8245db24d11f.jpg 543w,https://i.roamcdn.net/hz/ed/listing-gallery-main-844w/d56c3b139e6dacad042d595560439bf1/-/horizon-files-prod/ed/picture/qq4287v7/1775ba0be6a13ebd74437beaa85c8245db24d11f.jpg 810w,https://i.roamcdn.net/hz/ed/listing-gallery-full-1920w/b7e439d1f55da4392c498b404ca73042/-/horizon-files-prod/ed/picture/qq4287v7/1775ba0be6a13ebd74437beaa85c8245db24d11f.jpg 810w"
6220054,4,Ouakam Dakar,375000 ,"https://i.roamcdn.net/hz/ed/listing-thumb-543w/26a2cc6c57831d7ffbc87e3dbbe04120/-/horizon-files-prod/ed/picture/qrz84v6x/07b8dbbd592703ccec2c4064d281da54ac54c144.jpg 543w,https://i.roamcdn.net/hz/ed/listing-gallery-main-844w/e69f088228fd98af3851e56008fc21f0/-/horizon-files-prod/ed/picture/qrz84v6x/07b8dbbd592703ccec2c4064d281da54ac54c144.jpg 844w,https://i.roamcdn.net/hz/ed/listing-gallery-full-1920w/cb5f09ca70b5ed69f6854850cd813bd4/-/horizon-files-prod/ed/picture/qrz84v6x/07b8dbbd592703ccec2c4064d281da54ac54c144.jpg 1080w"
6128343,1,Grand-Yoff Dakar,100000 ,"https://i.roamcdn.net/hz/ed/listing-thumb-543w/7d7c7511ad6300f9d82f8e68181886c0/-/horizon-files-prod/ed/picture/qzvpd6nv/04db5eac1e2dbfa809d1bbbc1b18a2dfcc9d6ebf.jpg 543w,https://i.roamcdn.net/hz/ed/listing-gallery-main-844w/d80bac5140787866b48f13d95684b187/-/horizon-files-prod/ed/picture/qzvpd6nv/04db5eac1e2dbfa809d1bbbc1b18a2dfcc9d6ebf.jpg 756w,https://i.roamcdn.net/hz/ed/listing-gallery-full-1920w/b25063afcc424d187f566872271403ec/-/horizon-files-prod/ed/picture/qzvpd6nv/04db5eac1e2dbfa809d1bbbc1b18a2dfcc9d6ebf.jpg 756w"
6210875,2,Almadies Dakar,300000 ,"https://i.roamcdn.net/hz/ed/listing-thumb-543w/d0690aeeadb2c245084c07578d129d9d/-/horizon-files-prod/ed/picture/q44nm06m/f26776a6dc67804664af20bada48e0fbbcc817e5.jpg 543w,https://i.roamcdn.net/hz/ed/listing-gallery-main-844w/4bb4f2b87169bf547a872e88d36dbe33/-/horizon-files-prod/ed/picture/q44nm06m/f26776a6dc67804664af20bada48e0fbbcc817e5.jpg 844w,https://i.roamcdn.net/hz/ed/listing-gallery-full-1920w/6b460d076ae50cd554384d97712ec6aa/-/horizon-files-prod/ed/picture/q44nm06m/f26776a6dc67804664af20bada48e0fbbcc817e5.jpg 1080w"
6172979,2,Almadies Dakar,450000 ,"https://i.roamcdn.net/hz/ed/listing-thumb-543w/e76fa373ae2c72797a156cb85b506e0d/-/horizon-files-prod/ed/picture/qgqw46q2/8c772e11016a94e7f25adc47f515ce340ed9f648.jpg 543w,https://i.roamcdn.net/hz/ed/listing-gallery-main-844w/5abafd01b4ab7a921ca1ed5c853c9a47/-/horizon-files-prod/ed/picture/qgqw46q2/8c772e11016a94e7f25adc47f515ce340ed9f648.jpg 810w,https://i.roamcdn.net/hz/ed/listing-gallery-full-1920w/01d24ed8af1622f256235ac9ce72d266/-/horizon-files-prod/ed/picture/qgqw46q2/8c772e11016a94e7f25adc47f515ce340ed9f648.jpg 810w"
6199826,4,Plateau Dakar,1300000 ,"https://i.roamcdn.net/hz/ed/listing-thumb-543w/b412c9169dd5f1f7916e167dfe9609d0/-/horizon-files-prod/ed/picture/q9mjwk65/f3d70a6d2d9afbfcf6e85cba7f52c84295061a07.jpg 543w,https://i.roamcdn.net/hz/ed/listing-gallery-main-844w/45bff4e8b9c24fe112734dd7ded994a1/-/horizon-files-prod/ed/picture/q9mjwk65/f3d70a6d2d9afbfcf6e85cba7f52c84295061a07.jpg 844w,https://i.roamcdn.net/hz/ed/listing-gallery-full-1920w/087556b8cc3445a032a28d49bc96c9ee/-/horizon-files-prod/ed/picture/q9mjwk65/f3d70a6d2d9afbfcf6e85cba7f52c84295061a07.jpg 1920w"
6194491,3,Mamelles Dakar,518000 ,"https://i.roamcdn.net/hz/ed/listing-thumb-543w/2b3c12d054854b30a934516108255a94/-/horizon-files-prod/ed/picture/q0g7d4zj/f7262391a4ada01c5e850ada197960743967b0f9.jpg 543w,https://i.roamcdn.net/hz/ed/listing-gallery-main-844w/3dfcf4e213660aaf255468fcbd21e9dd/-/horizon-files-prod/ed/picture/q0g7d4zj/f7262391a4ada01c5e850ada197960743967b0f9.jpg 844w,https://i.roamcdn.net/hz/ed/listing-gallery-full-1920w/2188f5c90997b2322fe4a4631cf80a13/-/horizon-files-prod/ed/picture/q0g7d4zj/f7262391a4ada01c5e850ada197960743967b0f9.jpg 960w"
6220214,4,Almadies Dakar,800000 ,"https://i.roamcdn.net/hz/ed/listing-thumb-543w/80dcea62cfdbe65d9e739cf66c73db92/-/horizon-files-prod/ed/picture/qkr8vgkm/c9d264855a9ab3b2328f711430918d734e6cefcc.jpg 543w,https://i.roamcdn.net/hz/ed/listing-gallery-main-844w/71be94274bdc0e41fae10780be488cae/-/horizon-files-prod/ed/picture/qkr8vgkm/c9d264855a9ab3b2328f711430918d734e6cefcc.jpg 844w,https://i.roamcdn.net/hz/ed/listing-gallery-full-1920w/7775cead4705d75e958089d5123d1d5c/-/horizon-files-prod/ed/picture/qkr8vgkm/c9d264855a9ab3b2328f711430918d734e6cefcc.jpg 1040w"
6172989,3,Almadies Dakar,400000 ,"https://i.roamcdn.net/hz/ed/listing-thumb-543w/1c1479ffccdb5263e2a8c26e1238404b/-/horizon-files-prod/ed/picture/q78wx67g/70712cc54a1800e72d2a6ae660a8b6f0915e16d1.jpg 543w,https://i.roamcdn.net/hz/ed/listing-gallery-main-844w/3c24b57e8490d86ca3c4a7a036adbf59/-/horizon-files-prod/ed/picture/q78wx67g/70712cc54a1800e72d2a6ae660a8b6f0915e16d1.jpg 774w,https://i.roamcdn.net/hz/ed/listing-gallery-full-1920w/e9cb8a3dcda36511ed2e955d36ff4c65/-/horizon-files-prod/ed/picture/q78wx67g/70712cc54a1800e72d2a6ae660a8b6f0915e16d1.jpg 774w"
6217990,4,Mamelles Dakar,900000 ,"https://i.roamcdn.net/hz/ed/listing-thumb-543w/05c9ce5de2a2a1eba56cf0b2e947bb67/-/horizon-files-prod/ed/picture/qv4wqn42/6443993243aa084c9ea483e2fa19e32e2ac233c7.jpg 543w,https://i.roamcdn.net/hz/ed/listing-gallery-main-844w/0c234b0449e75cef381684d7bd1148bb/-/horizon-files-prod/ed/picture/qv4wqn42/6443993243aa084c9ea483e2fa19e32e2ac233c7.jpg 844w,https://i.roamcdn.net/hz/ed/listing-gallery-full-1920w/901703064a9b600ca5592260dd5a993b/-/horizon-files-prod/ed/picture/qv4wqn42/6443993243aa084c9ea483e2fa19e32e2ac233c7.jpg 1072w"
6220173,1,Mamelles Dakar,250000 ,"https://i.roamcdn.net/hz/ed/listing-thumb-543w/17bb25493b03510623f3cff4048fae9a/-/horizon-files-prod/ed/picture/qq4287k7/67685812895f4ee94e4acc1a4b40bb0f7fc871d1.jpg 543w,https://i.roamcdn.net/hz/ed/listing-gallery-main-844w/2b699333bd5f52e8924a7283d5ebb974/-/horizon-files-prod/ed/picture/qq4287k7/67685812895f4ee94e4acc1a4b40bb0f7fc871d1.jpg 844w,https://i.roamcdn.net/hz/ed/listing-gallery-full-1920w/83b7659e82484d066a00d0df2dd18eda/-/horizon-files-prod/ed/picture/qq4287k7/67685812895f4ee94e4acc1a4b40bb0f7fc871d1.jpg 1080w"
6220150,2,Mamelles Dakar,300000 ,"https://i.roamcdn.net/hz/ed/listing-thumb-543w/98cb9a1c73698a378ddfb2b6e8638aa3/-/horizon-files-prod/ed/picture/qwep525z/ff4660d591ff72a6a4036a57343c539c4b089bd3.jpg 543w,https://i.roamcdn.net/hz/ed/listing-gallery-main-844w/8fe85c9baedfa8a79f7969eef07e1cd8/-/horizon-files-prod/ed/picture/qwep525z/ff4660d591ff72a6a4036a57343c539c4b089bd3.jpg 844w,https://i.roamcdn.net/hz/ed/listing-gallery-full-1920w/2672664fb27e8c643b702b8fa18e8d2e/-/horizon-files-prod/ed/picture/qwep525z/ff4660d591ff72a6a4036a57343c539c4b089bd3.jpg 1080w"
6220129,3,Hann maristes Dakar,350000 ,"https://i.roamcdn.net/hz/ed/listing-thumb-543w/e6534826a96183640f08c23e70f99837/-/horizon-files-prod/ed/picture/qq4287v7/1775ba0be6a13ebd74437beaa85c8245db24d11f.jpg 543w,https://i.roamcdn.net/hz/ed/listing-gallery-main-844w/d56c3b139e6dacad042d595560439bf1/-/horizon-files-prod/ed/picture/qq4287v7/1775ba0be6a13ebd74437beaa85c8245db24d11f.jpg 810w,https://i.roamcdn.net/hz/ed/listing-gallery-full-1920w/b7e439d1f55da4392c498b404ca73042/-/horizon-files-prod/ed/picture/qq4287v7/1775ba0be6a13ebd74437beaa85c8245db24d11f.jpg 810w"
6220054,4,Ouakam Dakar,375000 ,"https://i.roamcdn.net/hz/ed/listing-thumb-543w/26a2cc6c57831d7ffbc87e3dbbe04120/-/horizon-files-prod/ed/picture/qrz84v6x/07b8dbbd592703ccec2c4064d281da54ac54c144.jpg 543w,https://i.roamcdn.net/hz/ed/listing-gallery-main-844w/e69f088228fd98af3851e56008fc21f0/-/horizon-files-prod/ed/picture/qrz84v6x/07b8dbbd592703ccec2c4064d281da54ac54c144.jpg 844w,https://i.roamcdn.net/hz/ed/listing-gallery-full-1920w/cb5f09ca70b5ed69f6854850cd813bd4/-/horizon-files-prod/ed/picture/qrz84v6x/07b8dbbd592703ccec2c4064d281da54ac54c144.jpg 1080w"
6128343,1,Grand-Yoff Dakar,100000 ,"https://i.roamcdn.net/hz/ed/listing-thumb-543w/7d7c7511ad6300f9d82f8e68181886c0/-/horizon-files-prod/ed/picture/qzvpd6nv/04db5eac1e2dbfa809d1bbbc1b18a2dfcc9d6ebf.jpg 543w,https://i.roamcdn.net/hz/ed/listing-gallery-main-844w/d80bac5140787866b48f13d95684b187/-/horizon-files-prod/ed/picture/qzvpd6nv/04db5eac1e2dbfa809d1bbbc1b18a2dfcc9d6ebf.jpg 756w,https://i.roamcdn.net/hz/ed/listing-gallery-full-1920w/b25063afcc424d187f566872271403ec/-/horizon-files-prod/ed/picture/qzvpd6nv/04db5eac1e2dbfa809d1bbbc1b18a2dfcc9d6ebf.jpg 756w"
6210875,2,Almadies Dakar,300000 ,"https://i.roamcdn.net/hz/ed/listing-thumb-543w/d0690aeeadb2c245084c07578d129d9d/-/horizon-files-prod/ed/picture/q44nm06m/f26776a6dc67804664af20bada48e0fbbcc817e5.jpg 543w,https://i.roamcdn.net/hz/ed/listing-gallery-main-844w/4bb4f2b87169bf547a872e88d36dbe33/-/horizon-files-prod/ed/picture/q44nm06m/f26776a6dc67804664af20bada48e0fbbcc817e5.jpg 844w,https://i.roamcdn.net/hz/ed/listing-gallery-full-1920w/6b460d076ae50cd554384d97712ec6aa/-/horizon-files-prod/ed/picture/q44nm06m/f26776a6dc67804664af20bada48e0fbbcc817e5.jpg 1080w"
6172979,2,Almadies Dakar,450000 ,"https://i.roamcdn.net/hz/ed/listing-thumb-543w/e76fa373ae2c72797a156cb85b506e0d/-/horizon-files-prod/ed/picture/qgqw46q2/8c772e11016a94e7f25adc47f515ce340ed9f648.jpg 543w,https://i.roamcdn.net/hz/ed/listing-gallery-main-844w/5abafd01b4ab7a921ca1ed5c853c9a47/-/horizon-files-prod/ed/picture/qgqw46q2/8c772e11016a94e7f25adc47f515ce340ed9f648.jpg 810w,https://i.roamcdn.net/hz/ed/listing-gallery-full-1920w/01d24ed8af1622f256235ac9ce72d266/-/horizon-files-prod/ed/picture/qgqw46q2/8c772e11016a94e7f25adc47f515ce340ed9f648.jpg 810w"
6199826,4,Plateau Dakar,1300000 ,"https://i.roamcdn.net/hz/ed/listing-thumb-543w/b412c9169dd5f1f7916e167dfe9609d0/-/horizon-files-prod/ed/picture/q9mjwk65/f3d70a6d2d9afbfcf6e85cba7f52c84295061a07.jpg 543w,https://i.roamcdn.net/hz/ed/listing-gallery-main-844w/45bff4e8b9c24fe112734dd7ded994a1/-/horizon-files-prod/ed/picture/q9mjwk65/f3d70a6d2d9afbfcf6e85cba7f52c84295061a07.jpg 844w,https://i.roamcdn.net/hz/ed/listing-gallery-full-1920w/087556b8cc3445a032a28d49bc96c9ee/-/horizon-files-prod/ed/picture/q9mjwk65/f3d70a6d2d9afbfcf6e85cba7f52c84295061a07.jpg 1920w"
6194491,3,Mamelles Dakar,518000 ,"https://i.roamcdn.net/hz/ed/listing-thumb-543w/2b3c12d054854b30a934516108255a94/-/horizon-files-prod/ed/picture/q0g7d4zj/f7262391a4ada01c5e850ada197960743967b0f9.jpg 543w,https://i.roamcdn.net/hz/ed/listing-gallery-main-844w/3dfcf4e213660aaf255468fcbd21e9dd/-/horizon-files-prod/ed/picture/q0g7d4zj/f7262391a4ada01c5e850ada197960743967b0f9.jpg 844w,https://i.roamcdn.net/hz/ed/listing-gallery-full-1920w/2188f5c90997b2322fe4a4631cf80a13/-/horizon-files-prod/ed/picture/q0g7d4zj/f7262391a4ada01c5e850ada197960743967b0f9.jpg 960w"
6220214,4,Almadies Dakar,800000 ,"https://i.roamcdn.net/hz/ed/listing-thumb-543w/80dcea62cfdbe65d9e739cf66c73db92/-/horizon-files-prod/ed/picture/qkr8vgkm/c9d264855a9ab3b2328f711430918d734e6cefcc.jpg 543w,https://i.roamcdn.net/hz/ed/listing-gallery-main-844w/71be94274bdc0e41fae10780be488cae/-/horizon-files-prod/ed/picture/qkr8vgkm/c9d264855a9ab3b2328f711430918d734e6cefcc.jpg 844w,https://i.roamcdn.net/hz/ed/listing-gallery-full-1920w/7775cead4705d75e958089d5123d1d5c/-/horizon-files-prod/ed/picture/qkr8vgkm/c9d264855a9ab3b2328f711430918d734e6cefcc.jpg 1040w"
6172989,3,Almadies Dakar,400000 ,"https://i.roamcdn.net/hz/ed/listing-thumb-543w/1c1479ffccdb5263e2a8c26e1238404b/-/horizon-files-prod/ed/picture/q78wx67g/70712cc54a1800e72d2a6ae660a8b6f0915e16d1.jpg 543w,https://i.roamcdn.net/hz/ed/listing-gallery-main-844w/3c24b57e8490d86ca3c4a7a036adbf59/-/horizon-files-prod/ed/picture/q78wx67g/70712cc54a1800e72d2a6ae660a8b6f0915e16d1.jpg 774w,https://i.roamcdn.net/hz/ed/listing-gallery-full-1920w/e9cb8a3dcda36511ed2e955d36ff4c65/-/horizon-files-prod/ed/picture/q78wx67g/70712cc54a1800e72d2a6ae660a8b6f0915e16d1.jpg 774w"
6217990,4,Mamelles Dakar,900000 ,"https://i.roamcdn.net/hz/ed/listing-thumb-543w/05c9ce5de2a2a1eba56cf0b2e947bb67/-/horizon-files-prod/ed/picture/qv4wqn42/6443993243aa084c9ea483e2fa19e32e2ac233c7.jpg 543w,https://i.roamcdn.net/hz/ed/listing-gallery-main-844w/0c234b0449e75cef381684d7bd1148bb/-/horizon-files-prod/ed/picture/qv4wqn42/6443993243aa084c9ea483e2fa19e32e2ac233c7.jpg 844w,https://i.roamcdn.net/hz/ed/listing-gallery-full-1920w/901703064a9b600ca5592260dd5a993b/-/horizon-files-prod/ed/picture/qv4wqn42/6443993243aa084c9ea483e2fa19e32e2ac233c7.jpg 1072w"
6220173,1,Mamelles Dakar,250000 ,"https://i.roamcdn.net/hz/ed/listing-thumb-543w/17bb25493b03510623f3cff4048fae9a/-/horizon-files-prod/ed/picture/qq4287k7/67685812895f4ee94e4acc1a4b40bb0f7fc871d1.jpg 543w,https://i.roamcdn.net/hz/ed/listing-gallery-main-844w/2b699333bd5f52e8924a7283d5ebb974/-/horizon-files-prod/ed/picture/qq4287k7/67685812895f4ee94e4acc1a4b40bb0f7fc871d1.jpg 844w,https://i.roamcdn.net/hz/ed/listing-gallery-full-1920w/83b7659e82484d066a00d0df2dd18eda/-/horizon-files-prod/ed/picture/qq4287k7/67685812895f4ee94e4acc1a4b40bb0f7fc871d1.jpg 1080w"
6220150,2,Mamelles Dakar,300000 ,"https://i.roamcdn.net/hz/ed/listing-thumb-543w/98cb9a1c73698a378ddfb2b6e8638aa3/-/horizon-files-prod/ed/picture/qwep525z/ff4660d591ff72a6a4036a57343c539c4b089bd3.jpg 543w,https://i.roamcdn.net/hz/ed/listing-gallery-main-844w/8fe85c9baedfa8a79f7969eef07e1cd8/-/horizon-files-prod/ed/picture/qwep525z/ff4660d591ff72a6a4036a57343c539c4b089bd3.jpg 844w,https://i.roamcdn.net/hz/ed/listing-gallery-full-1920w/2672664fb27e8c643b702b8fa18e8d2e/-/horizon-files-prod/ed/picture/qwep525z/ff4660d591ff72a6a4036a57343c539c4b089bd3.jpg 1080w"
6220129,3,Hann maristes Dakar,350000 ,"https://i.roamcdn.net/hz/ed/listing-thumb-543w/e6534826a96183640f08c23e70f99837/-/horizon-files-prod/ed/picture/qq4287v7/1775ba0be6a13ebd74437beaa85c8245db24d11f.jpg 543w,https://i.roamcdn.net/hz/ed/listing-gallery-main-844w/d56c3b139e6dacad042d595560439bf1/-/horizon-files-prod/ed/picture/qq4287v7/1775ba0be6a13ebd74437beaa85c8245db24d11f.jpg 810w,https://i.roamcdn.net/hz/ed/listing-gallery-full-1920w/b7e439d1f55da4392c498b404ca73042/-/horizon-files-prod/ed/picture/qq4287v7/1775ba0be6a13ebd74437beaa85c8245db24d11f.jpg 810w"
6220054,4,Ouakam Dakar,375000 ,"https://i.roamcdn.net/hz/ed/listing-thumb-543w/26a2cc6c57831d7ffbc87e3dbbe04120/-/horizon-files-prod/ed/picture/qrz84v6x/07b8dbbd592703ccec2c4064d281da54ac54c144.jpg 543w,https://i.roamcdn.net/hz/ed/listing-gallery-main-844w/e69f088228fd98af3851e56008fc21f0/-/horizon-files-prod/ed/picture/qrz84v6x/07b8dbbd592703ccec2c4064d281da54ac54c144.jpg 844w,https://i.roamcdn.net/hz/ed/listing-gallery-full-1920w/cb5f09ca70b5ed69f6854850cd813bd4/-/horizon-files-prod/ed/picture/qrz84v6x/07b8dbbd592703ccec2c4064d281da54ac54c144.jpg 1080w"
6128343,1,Grand-Yoff Dakar,100000 ,"https://i.roamcdn.net/hz/ed/listing-thumb-543w/7d7c7511ad6300f9d82f8e68181886c0/-/horizon-files-prod/ed/picture/qzvpd6nv/04db5eac1e2dbfa809d1bbbc1b18a2dfcc9d6ebf.jpg 543w,https://i.roamcdn.net/hz/ed/listing-gallery-main-844w/d80bac5140787866b48f13d95684b187/-/horizon-files-prod/ed/picture/qzvpd6nv/04db5eac1e2dbfa809d1bbbc1b18a2dfcc9d6ebf.jpg 756w,https://i.roamcdn.net/hz/ed/listing-gallery-full-1920w/b25063afcc424d187f566872271403ec/-/horizon-files-prod/ed/picture/qzvpd6nv/04db5eac1e2dbfa809d1bbbc1b18a2dfcc9d6ebf.jpg 756w"
6210875,2,Almadies Dakar,300000 ,"https://i.roamcdn.net/hz/ed/listing-thumb-543w/d0690aeeadb2c245084c07578d129d9d/-/horizon-files-prod/ed/picture/q44nm06m/f26776a6dc67804664af20bada48e0fbbcc817e5.jpg 543w,https://i.roamcdn.net/hz/ed/listing-gallery-main-844w/4bb4f2b87169bf547a872e88d36dbe33/-/horizon-files-prod/ed/picture/q44nm06m/f26776a6dc67804664af20bada48e0fbbcc817e5.jpg 844w,https://i.roamcdn.net/hz/ed/listing-gallery-full-1920w/6b460d076ae50cd554384d97712ec6aa/-/horizon-files-prod/ed/picture/q44nm06m/f26776a6dc67804664af20bada48e0fbbcc817e5.jpg 1080w"
6172979,2,Almadies Dakar,450000 ,"https://i.roamcdn.net/hz/ed/listing-thumb-543w/e76fa373ae2c72797a156cb85b506e0d/-/horizon-files-prod/ed/picture/qgqw46q2/8c772e11016a94e7f25adc47f515ce340ed9f648.jpg 543w,https://i.roamcdn.net/hz/ed/listing-gallery-main-844w/5abafd01b4ab7a921ca1ed5c853c9a47/-/horizon-files-prod/ed/picture/qgqw46q2/8c772e11016a94e7f25adc47f515ce340ed9f648.jpg 810w,https://i.roamcdn.net/hz/ed/listing-gallery-full-1920w/01d24ed8af1622f256235ac9ce72d266/-/horizon-files-prod/ed/picture/qgqw46q2/8c772e11016a94e7f25adc47f515ce340ed9f648.jpg 810w"
6199826,4,Plateau Dakar,1300000 ,"https://i.roamcdn.net/hz/ed/listing-thumb-543w/b412c9169dd5f1f7916e167dfe9609d0/-/horizon-files-prod/ed/picture/q9mjwk65/f3d70a6d2d9afbfcf6e85cba7f52c84295061a07.jpg 543w,https://i.roamcdn.net/hz/ed/listing-gallery-main-844w/45bff4e8b9c24fe112734dd7ded994a1/-/horizon-files-prod/ed/picture/q9mjwk65/f3d70a6d2d9afbfcf6e85cba7f52c84295061a07.jpg 844w,https://i.roamcdn.net/hz/ed/listing-gallery-full-1920w/087556b8cc3445a032a28d49bc96c9ee/-/horizon-files-prod/ed/picture/q9mjwk65/f3d70a6d2d9afbfcf6e85cba7f52c84295061a07.jpg 1920w"
6194491,3,Mamelles Dakar,518000 ,"https://i.roamcdn.net/hz/ed/listing-thumb-543w/2b3c12d054854b30a934516108255a94/-/horizon-files-prod/ed/picture/q0g7d4zj/f7262391a4ada01c5e850ada197960743967b0f9.jpg 543w,https://i.roamcdn.net/hz/ed/listing-gallery-main-844w/3dfcf4e213660aaf255468fcbd21e9dd/-/horizon-files-prod/ed/picture/q0g7d4zj/f7262391a4ada01c5e850ada197960743967b0f9.jpg 844w,https://i.roamcdn.net/hz/ed/listing-gallery-full-1920w/2188f5c90997b2322fe4a4631cf80a13/-/horizon-files-prod/ed/picture/q0g7d4zj/f7262391a4ada01c5e850ada197960743967b0f9.jpg 960w"
6220214,4,Almadies Dakar,800000 ,"https://i.roamcdn.net/hz/ed/listing-thumb-543w/80dcea62cfdbe65d9e739cf66c73db92/-/horizon-files-prod/ed/picture/qkr8vgkm/c9d264855a9ab3b2328f711430918d734e6cefcc.jpg 543w,https://i.roamcdn.net/hz/ed/listing-gallery-main-844w/71be94274bdc0e41fae10780be488cae/-/horizon-files-prod/ed/picture/qkr8vgkm/c9d264855a9ab3b2328f711430918d734e6cefcc.jpg 844w,https://i.roamcdn.net/hz/ed/listing-gallery-full-1920w/7775cead4705d75e958089d5123d1d5c/-/horizon-files-prod/ed/picture/qkr8vgkm/c9d264855a9ab3b2328f711430918d734e6cefcc.jpg 1040w"
6172989,3,Almadies Dakar,400000 ,"https://i.roamcdn.net/hz/ed/listing-thumb-543w/1c1479ffccdb5263e2a8c26e1238404b/-/horizon-files-prod/ed/picture/q78wx67g/70712cc54a1800e72d2a6ae660a8b6f0915e16d1.jpg 543w,https://i.roamcdn.net/hz/ed/listing-gallery-main-844w/3c24b57e8490d86ca3c4a7a036adbf59/-/horizon-files-prod/ed/picture/q78wx67g/70712cc54a1800e72d2a6ae660a8b6f0915e16d1.jpg 774w,https://i.roamcdn.net/hz/ed/listing-gallery-full-1920w/e9cb8a3dcda36511ed2e955d36ff4c65/-/horizon-files-prod/ed/picture/q78wx67g/70712cc54a1800e72d2a6ae660a8b6f0915e16d1.jpg 774w"
6217990,4,Mamelles Dakar,900000 ,"https://i.roamcdn.net/hz/ed/listing-thumb-543w/05c9ce5de2a2a1eba56cf0b2e947bb67/-/horizon-files-prod/ed/picture/qv4wqn42/6443993243aa084c9ea483e2fa19e32e2ac233c7.jpg 543w,https://i.roamcdn.net/hz/ed/listing-gallery-main-844w/0c234b0449e75cef381684d7bd1148bb/-/horizon-files-prod/ed/picture/qv4wqn42/6443993243aa084c9ea483e2fa19e32e2ac233c7.jpg 844w,https://i.roamcdn.net/hz/ed/listing-gallery-full-1920w/901703064a9b600ca5592260dd5a993b/-/horizon-files-prod/ed/picture/qv4wqn42/6443993243aa084c9ea483e2fa19e32e2ac233c7.jpg 1072w"
6220173,1,Mamelles Dakar,250000 ,"https://i.roamcdn.net/hz/ed/listing-thumb-543w/17bb25493b03510623f3cff4048fae9a/-/horizon-files-prod/ed/picture/qq4287k7/67685812895f4ee94e4acc1a4b40bb0f7fc871d1.jpg 543w,https://i.roamcdn.net/hz/ed/listing-gallery-main-844w/2b699333bd5f52e8924a7283d5ebb974/-/horizon-files-prod/ed/picture/qq4287k7/67685812895f4ee94e4acc1a4b40bb0f7fc871d1.jpg 844w,https://i.roamcdn.net/hz/ed/listing-gallery-full-1920w/83b7659e82484d066a00d0df2dd18eda/-/horizon-files-prod/ed/picture/qq4287k7/67685812895f4ee94e4acc1a4b40bb0f7fc871d1.jpg 1080w"
6220150,2,Mamelles Dakar,300000 ,"https://i.roamcdn.net/hz/ed/listing-thumb-543w/98cb9a1c73698a378ddfb2b6e8638aa3/-/horizon-files-prod/ed/picture/qwep525z/ff4660d591ff72a6a4036a57343c539c4b089bd3.jpg 543w,https://i.roamcdn.net/hz/ed/listing-gallery-main-844w/8fe85c9baedfa8a79f7969eef07e1cd8/-/horizon-files-prod/ed/picture/qwep525z/ff4660d591ff72a6a4036a57343c539c4b089bd3.jpg 844w,https://i.roamcdn.net/hz/ed/listing-gallery-full-1920w/2672664fb27e8c643b702b8fa18e8d2e/-/horizon-files-prod/ed/picture/qwep525z/ff4660d591ff72a6a4036a57343c539c4b089bd3.jpg 1080w"
6220129,3,Hann maristes Dakar,350000 ,"https://i.roamcdn.net/hz/ed/listing-thumb-543w/e6534826a96183640f08c23e70f99837/-/horizon-files-prod/ed/picture/qq4287v7/1775ba0be6a13ebd74437beaa85c8245db24d11f.jpg 543w,https://i.roamcdn.net/hz/ed/listing-gallery-main-844w/d56c3b139e6dacad042d595560439bf1/-/horizon-files-prod/ed/picture/qq4287v7/1775ba0be6a13ebd74437beaa85c8245db24d11f.jpg 810w,https://i.roamcdn.net/hz/ed/listing-gallery-full-1920w/b7e439d1f55da4392c498b404ca73042/-/horizon-files-prod/ed/picture/qq4287v7/1775ba0be6a13ebd74437beaa85c8245db24d11f.jpg 810w"
